2026-02-08 08:55:48,904 - INFO - Configuration:
2026-02-08 08:55:48,905 - INFO -   Style: Standard (Curriculum)
2026-02-08 08:55:48,905 - INFO -   Mode: curriculum
2026-02-08 08:55:48,905 - INFO -   Agents: 5
2026-02-08 08:55:48,905 - INFO -   Frame Stack: 4
2026-02-08 08:55:48,905 - INFO -   Resolution: (84, 84)
2026-02-08 08:55:48,905 - INFO -   Model: DuelingDQN (LeakyReLU)
2026-02-08 08:55:48,905 - INFO -   LR: 6.25e-05
2026-02-08 08:55:48,905 - INFO -   PER: True
2026-02-08 08:55:55,795 - INFO -   Curriculum Stage: 1 (EAT)
2026-02-08 08:55:55,795 - INFO -   Max Steps: 300
2026-02-08 08:56:16,076 - INFO - Ep 1 | S1:EAT | Rw: 194.73 | St: 67 | Fd: 21 (0.313/st) | Eps: 0.999 | L: 11.3338 | Wall | Pos:(0,0)
2026-02-08 08:56:18,189 - INFO - Ep 2 | S1:EAT | Rw: 206.01 | St: 68 | Fd: 22 (0.324/st) | Eps: 0.999 | L: 7.7417 | Wall | Pos:(0,0)
2026-02-08 08:56:27,580 - INFO - Ep 3 | S1:EAT | Rw: 245.61 | St: 94 | Fd: 26 (0.277/st) | Eps: 0.999 | L: 10.3050 | Wall | Pos:(0,0)
2026-02-08 08:56:29,766 - INFO - Ep 4 | S1:EAT | Rw: 169.49 | St: 27 | Fd: 19 (0.704/st) | Eps: 0.999 | L: 7.1090 | Wall | Pos:(0,0)
2026-02-08 08:56:39,088 - INFO - Ep 5 | S1:EAT | Rw: 243.68 | St: 126 | Fd: 26 (0.206/st) | Eps: 0.998 | L: 11.1785 | Wall | Pos:(43954,27773)
2026-02-08 08:56:46,850 - INFO - Ep 6 | S1:EAT | Rw: 417.38 | St: 144 | Fd: 43 (0.299/st) | Eps: 0.998 | L: 8.5281 | Wall | Pos:(0,0)
2026-02-08 08:56:53,329 - INFO - Ep 7 | S1:EAT | Rw: 211.33 | St: 28 | Fd: 23 (0.821/st) | Eps: 0.998 | L: 7.6776 | Wall | Pos:(0,0)
2026-02-08 08:56:55,443 - INFO - Ep 8 | S1:EAT | Rw: 266.67 | St: 88 | Fd: 28 (0.318/st) | Eps: 0.998 | L: 16.1330 | Wall | Pos:(0,0)
2026-02-08 08:57:01,533 - INFO - Ep 9 | S1:EAT | Rw: 191.10 | St: 18 | Fd: 21 (1.167/st) | Eps: 0.998 | L: 8.4417 | Wall | Pos:(0,0)
2026-02-08 08:57:08,227 - INFO - Ep 10 | S1:EAT | Rw: 181.23 | St: 12 | Fd: 20 (1.667/st) | Eps: 0.997 | L: 14.1671 | Wall | Pos:(29669,39378) Enemy:45
2026-02-08 08:57:08,227 - INFO - Death Stats: {'Wall': 10, 'SnakeCollision': 0, 'Unknown': 0, 'MaxSteps': 0}
